ID: 10076 | Name: Widgets | BasePriority: 8
ID: 8152 | Name: msedgewebview2 | BasePriority: 8
ID: 2004 | Name: msedgewebview2 | BasePriority: 8
ID: 7324 | Name: msedgewebview2 | BasePriority: 10
ID: 12988 | Name: msedgewebview2 | BasePriority: 8
ID: 14344 | Name: msedgewebview2 | BasePriority: 8
ID: 1896 | Name: msedgewebview2 | BasePriority: 4
ID: 12300 | Name: chrome | BasePriority: 8
ID: 7296 | Name: chrome | BasePriority: 4
ID: 7984 | Name: chrome | BasePriority: 4
ID: 2432 | Name: chrome | BasePriority: 4
ID: 12200 | Name: chrome | BasePriority: 4
ID: 15692 | Name: ServiceHub.Host.CLR.x86 | BasePriority: 8
ID: 15988 | Name: ServiceHub.TestWindowStoreHost | BasePriority: 8
ID: 8044 | Name: chrome | BasePriority: 4
ID: 3976 | Name: StandardCollector.Service | BasePriority: 8
ID: 14592 | Name: ScriptedSandbox64 | BasePriority: 8
ID: 10828 | Name: msvsmon | BasePriority: 8
ID: 12612 | Name: VsDebugConsole | BasePriority: 8
ID: 15012 | Name: conhost | BasePriority: 8
ID: 11800 | Name: lab15 | BasePriority: 8
ID: 14608 | Name: cmd | BasePriority: 8
ID: 3360 | Name: conhost | BasePriority: 8
